"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
88,"CSTE","Caesarstone Ltd","Industrials","Building Products & Equipment","Israel",62.89,,1.82,4.00%,253015
89,"BWEN","Broadwind Inc","Industrials","Specialty Industrial Machinery","USA",71.92,14.11,3.10,-4.02%,110866
90,"OPTT","Ocean Power Technologies","Industrials","Specialty Industrial Machinery","USA",76.02,,0.42,-5.59%,2256356
91,"CBAT","CBAK Energy Technology Inc","Industrials","Electrical Equipment & Parts","China",76.43,,0.86,-3.12%,155986
92,"HOVR","New Horizon Aircraft Ltd","Industrials","Aerospace & Defense","Canada",76.74,16.84,1.77,-1.12%,638382
93,"SLGB","Smart Logistics Global Ltd","Industrials","Integrated Freight & Logistics","Hong Kong",84.87,,2.07,0.00%,13470
94,"SKBL","Skyline Builders Group Holding Ltd","Industrials","Engineering & Construction","Hong Kong",89.77,958.06,2.97,1.02%,317351
95,"DFLI","Dragonfly Energy Holdings Corp","Industrials","Electrical Equipment & Parts","USA",90.59,,0.75,-6.70%,3593554
96,"GPUS","Hyperscale Data Inc","Industrials","Aerospace & Defense","USA",96.75,,0.28,-4.53%,22085988
97,"BAER","Bridger Aerospace Group Holdings Inc","Industrials","Security & Protection Services","USA",101.09,,1.82,1.11%,1496937
98,"BURU","Nuburu Inc","Industrials","Specialty Industrial Machinery","USA",101.21,,0.23,-4.73%,22824902
99,"PEW","GrabAGun Digital Holdings Inc","Industrials","Aerospace & Defense","USA",105.66,,3.52,-2.76%,356987
100,"SPAI","Safe Pro Group Inc","Industrials","Aerospace & Defense","USA",107.59,,5.13,-1.16%,43230
101,"NEOV","NeoVolta Inc","Industrials","Electrical Equipment & Parts","USA",129.23,,3.72,-3.88%,394883
102,"BLNK","Blink Charging Co","Industrials","Engineering & Construction","USA",137.48,,1.20,-15.49%,7913264
103,"SRFM","Surf Air Mobility Inc","Industrials","Airlines","USA",140.84,,2.25,-8.91%,3367356
104,"SCAG","Scage Future. ADR","Industrials","Farm & Heavy Construction Machinery","China",143.04,,1.98,3.66%,10099
105,"VWAV","VisionWave Holdings Inc","Industrials","Aerospace & Defense","USA",145.92,,9.73,-2.01%,212324
106,"TBI","TrueBlue Inc","Industrials","Staffing & Employment Services","USA",146.70,,4.90,-1.80%,107382
107,"ALTG","Alta Equipment Group Inc","Industrials","Rental & Leasing Services","USA",158.28,,4.91,-0.61%,146743
108,"ARQ","Arq Inc","Industrials","Pollution & Treatment Controls","USA",160.96,,3.77,-1.82%,189403
109,"RGP","Resources Connection Inc","Industrials","Consulting Services","USA",162.28,,4.86,0.00%,229053
110,"AIRJ","AirJoule Technologies Corp","Industrials","Building Products & Equipment","USA",169.90,,2.80,-5.08%,234515
