"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
175,"BEKE","KE Holdings Inc ADR","Real Estate","Real Estate Services","China",19123.23,43.17,17.18,2.26%,3443107
176,"SBAC","SBA Communications Corp","Real Estate","REIT - Specialty","USA",20199.16,23.87,189.58,-0.22%,716040
177,"EQR","Equity Residential Properties Trust","Real Estate","REIT - Residential","USA",23231.79,20.33,61.06,-0.89%,2214130
178,"IRM","Iron Mountain Inc","Real Estate","REIT - Specialty","USA",24921.15,157.68,84.31,-0.85%,1476456
179,"AVB","Avalonbay Communities Inc","Real Estate","REIT - Residential","USA",25206.73,21.73,178.02,-0.78%,1549674
180,"EXR","Extra Space Storage Inc","Real Estate","REIT - Industrial","USA",28708.87,28.97,129.56,-1.17%,1158185
181,"CSGP","Costar Group, Inc","Real Estate","Real Estate Services","USA",28824.19,1323.15,68.01,-0.26%,2950746
182,"VICI","VICI Properties Inc","Real Estate","REIT - Diversified","USA",29638.14,10.55,27.73,-0.96%,16346469
183,"VTR","Ventas Inc","Real Estate","REIT - Healthcare Facilities","USA",38792.18,152.35,80.61,0.20%,2298660
184,"CCI","Crown Castle Inc","Real Estate","REIT - Specialty","USA",38879.56,,89.28,0.76%,2706407
185,"PSA","Public Storage","Real Estate","REIT - Industrial","USA",47736.47,28.27,272.06,-1.65%,783669
186,"CBRE","CBRE Group Inc","Real Estate","Real Estate Services","USA",47870.81,39.73,160.86,-0.38%,821957
187,"O","Realty Income Corp","Real Estate","REIT - Retail","USA",53796.34,54.66,58.48,0.46%,5419778
188,"DLR","Digital Realty Trust Inc","Real Estate","REIT - Specialty","USA",56585.01,42.55,164.73,2.30%,1875291
189,"SPG","Simon Property Group, Inc","Real Estate","REIT - Retail","USA",59600.37,25.11,182.56,-0.41%,1642368
190,"EQIX","Equinix Inc","Real Estate","REIT - Specialty","USA",72812.84,67.90,741.58,2.13%,760865
191,"AMT","American Tower Corp","Real Estate","REIT - Specialty","USA",83732.71,28.53,178.86,0.02%,2998120
192,"PLD","Prologis Inc","Real Estate","REIT - Industrial","USA",121698.87,37.26,127.98,-0.16%,3242202
193,"WELL","Welltower Inc","Real Estate","REIT - Healthcare Facilities","USA",140223.69,153.99,204.31,0.22%,2731970
