"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
115,"ZUMZ","Zumiez Inc","Consumer Cyclical","Apparel Retail","USA",525.24,63.32,30.62,12.33%,1134951
116,"ARKO","ARKO Corp","Consumer Cyclical","Specialty Retail","USA",544.90,43.62,4.89,0.41%,191312
117,"MBUU","Malibu Boats Inc","Consumer Cyclical","Recreational Vehicles","USA",549.11,29.06,28.56,3.52%,273943
118,"BLMN","Bloomin Brands Inc","Consumer Cyclical","Restaurants","USA",575.22,,6.75,0.00%,1630702
119,"MNRO","Monro Inc","Consumer Cyclical","Auto Parts","USA",582.68,,19.41,0.73%,601847
120,"OXM","Oxford Industries, Inc","Consumer Cyclical","Apparel Manufacturing","USA",606.73,11.04,40.81,2.59%,442080
121,"ETD","Ethan Allen Interiors, Inc","Consumer Cyclical","Furnishings, Fixtures & Appliances","USA",610.97,13.01,24.01,-0.41%,237950
122,"CBRL","Cracker Barrel Old Country Store Inc","Consumer Cyclical","Restaurants","USA",619.74,13.48,27.83,-1.94%,1509004
123,"KRUS","Kura Sushi USA Inc","Consumer Cyclical","Restaurants","USA",653.29,,53.94,-1.82%,195733
124,"BBW","Build A Bear Workshop Inc","Consumer Cyclical","Specialty Retail","USA",653.55,11.45,49.79,2.70%,1211667
125,"BZH","Beazer Homes USA Inc","Consumer Cyclical","Residential Construction","USA",669.60,14.65,22.50,-1.45%,321255
126,"LIND","Lindblad Expeditions Holdings Inc","Consumer Cyclical","Travel Services","USA",680.32,,12.28,2.59%,359377
127,"SFIX","Stitch Fix Inc","Consumer Cyclical","Apparel Retail","USA",686.97,,5.12,9.17%,7279404
128,"MYE","Myers Industries Inc","Consumer Cyclical","Packaging & Containers","USA",690.18,24.78,18.45,0.65%,424073
129,"FOXF","Fox Factory Holding Corp","Consumer Cyclical","Auto Parts","USA",692.23,,16.56,0.61%,847320
130,"RERE","ATRenew Inc ADR","Consumer Cyclical","Internet Retail","China",701.13,32.92,5.31,-0.56%,1744576
131,"FWDI","Forward Industries, Inc","Consumer Cyclical","Footwear & Accessories","USA",708.97,,8.20,-4.76%,931557
132,"GDEN","Golden Entertainment Inc","Consumer Cyclical","Resorts & Casinos","USA",732.09,149.81,27.97,-1.38%,301551
133,"AXL","American Axle & Manufacturing Holdings Inc","Consumer Cyclical","Auto Parts","USA",748.97,18.74,6.31,-0.47%,1503125
134,"ECX","ECARX Holdings Inc","Consumer Cyclical","Auto Parts","United Kingdom",778.53,,2.10,8.25%,10893061
135,"HEPS","D-MARKET Electronic Services & Trading ADR","Consumer Cyclical","Internet Retail","Turkey",780.95,,2.43,1.89%,343403
136,"BJRI","BJ's Restaurant Inc","Consumer Cyclical","Restaurants","USA",786.43,27.85,37.21,-0.91%,342465
137,"SG","Sweetgreen Inc","Consumer Cyclical","Restaurants","USA",791.92,,6.69,-3.04%,2896749
